,model,accuracy score,F1 score,time,features
0,Logistic Regression,1.0,1.0,0.048276662826538086,1
1,Decision Tree,1.0,1.0,0.007635593414306641,1
2,Random Forest,1.0,1.0,0.14925360679626465,1
3,K-Nearest Neighbors,1.0,1.0,0.13055419921875,1
4,Linear SVM,1.0,1.0,0.030291080474853516,1
0,Logistic Regression,1.0,1.0,0.01719975471496582,2
1,Decision Tree,1.0,1.0,0.006320953369140625,2
2,Random Forest,1.0,1.0,0.06866121292114258,2
3,K-Nearest Neighbors,1.0,1.0,0.13264250755310059,2
4,Linear SVM,1.0,1.0,0.041877031326293945,2
0,Logistic Regression,1.0,1.0,0.1007835865020752,3
1,Decision Tree,1.0,1.0,0.0052106380462646484,3
2,Random Forest,1.0,1.0,0.10098075866699219,3
3,K-Nearest Neighbors,1.0,1.0,0.1281578540802002,3
4,Linear SVM,1.0,1.0,0.04789280891418457,3
0,Logistic Regression,1.0,1.0,0.018031835556030273,4
1,Decision Tree,1.0,1.0,0.005124568939208984,4
2,Random Forest,1.0,1.0,0.12085485458374023,4
3,K-Nearest Neighbors,1.0,1.0,0.1335921287536621,4
4,Linear SVM,1.0,1.0,0.06592488288879395,4
0,Logistic Regression,1.0,1.0,0.0763697624206543,5
1,Decision Tree,1.0,1.0,0.005546092987060547,5
2,Random Forest,1.0,1.0,0.07485508918762207,5
3,K-Nearest Neighbors,1.0,1.0,0.14665818214416504,5
4,Linear SVM,1.0,1.0,0.07699227333068848,5
0,Logistic Regression,1.0,1.0,0.02945256233215332,6
1,Decision Tree,1.0,1.0,0.005698442459106445,6
2,Random Forest,1.0,1.0,0.07168054580688477,6
3,K-Nearest Neighbors,1.0,1.0,0.15048527717590332,6
4,Linear SVM,1.0,1.0,0.0809030532836914,6
0,Logistic Regression,1.0,1.0,0.023862838745117188,7
1,Decision Tree,1.0,1.0,0.008055686950683594,7
2,Random Forest,1.0,1.0,0.07075715065002441,7
3,K-Nearest Neighbors,1.0,1.0,0.1516256332397461,7
4,Linear SVM,1.0,1.0,0.09223508834838867,7
0,Logistic Regression,1.0,1.0,0.024196624755859375,8
1,Decision Tree,1.0,1.0,0.005655765533447266,8
2,Random Forest,1.0,1.0,0.06976795196533203,8
3,K-Nearest Neighbors,1.0,1.0,0.16594171524047852,8
4,Linear SVM,1.0,1.0,0.09504079818725586,8
0,Logistic Regression,1.0,1.0,0.024692535400390625,9
1,Decision Tree,1.0,1.0,0.005611419677734375,9
2,Random Forest,1.0,1.0,0.09355545043945312,9
3,K-Nearest Neighbors,1.0,1.0,0.17633676528930664,9
4,Linear SVM,1.0,1.0,0.10332012176513672,9
0,Logistic Regression,1.0,1.0,0.040441036224365234,10
1,Decision Tree,1.0,1.0,0.006279706954956055,10
2,Random Forest,1.0,1.0,0.18779826164245605,10
3,K-Nearest Neighbors,1.0,1.0,0.18437910079956055,10
4,Linear SVM,1.0,1.0,0.09217667579650879,10
0,Logistic Regression,1.0,1.0,0.028003215789794922,11
1,Decision Tree,1.0,1.0,0.012578248977661133,11
2,Random Forest,1.0,1.0,0.09083437919616699,11
3,K-Nearest Neighbors,1.0,1.0,0.1871349811553955,11
4,Linear SVM,1.0,1.0,0.10207033157348633,11
0,Logistic Regression,1.0,1.0,0.03173971176147461,12
1,Decision Tree,1.0,1.0,0.005873203277587891,12
2,Random Forest,1.0,1.0,0.09135937690734863,12
3,K-Nearest Neighbors,1.0,1.0,0.19832348823547363,12
4,Linear SVM,1.0,1.0,0.11030769348144531,12
0,Logistic Regression,1.0,1.0,0.028328418731689453,13
1,Decision Tree,1.0,1.0,0.007410764694213867,13
2,Random Forest,1.0,1.0,0.08750391006469727,13
3,K-Nearest Neighbors,1.0,1.0,0.1992487907409668,13
4,Linear SVM,1.0,1.0,0.10522174835205078,13
0,Logistic Regression,1.0,1.0,0.02907538414001465,14
1,Decision Tree,1.0,1.0,0.0059430599212646484,14
2,Random Forest,1.0,1.0,0.09354138374328613,14
3,K-Nearest Neighbors,1.0,1.0,0.2310490608215332,14
4,Linear SVM,1.0,1.0,0.10277342796325684,14
0,Logistic Regression,1.0,1.0,0.03570437431335449,15
1,Decision Tree,1.0,1.0,0.006730318069458008,15
2,Random Forest,1.0,1.0,0.07961368560791016,15
3,K-Nearest Neighbors,1.0,1.0,0.2808971405029297,15
4,Linear SVM,1.0,1.0,0.1314680576324463,15
0,Logistic Regression,1.0,1.0,0.15136432647705078,16
1,Decision Tree,1.0,1.0,0.007490396499633789,16
2,Random Forest,1.0,1.0,0.07625675201416016,16
3,K-Nearest Neighbors,1.0,1.0,0.2243185043334961,16
4,Linear SVM,1.0,1.0,0.13303232192993164,16
0,Logistic Regression,1.0,1.0,0.02996230125427246,17
1,Decision Tree,1.0,1.0,0.01219487190246582,17
2,Random Forest,1.0,1.0,0.08188629150390625,17
3,K-Nearest Neighbors,1.0,1.0,0.2343454360961914,17
4,Linear SVM,1.0,1.0,0.1633450984954834,17
0,Logistic Regression,1.0,1.0,0.08776617050170898,18
1,Decision Tree,1.0,1.0,0.0069959163665771484,18
2,Random Forest,1.0,1.0,0.07545113563537598,18
3,K-Nearest Neighbors,1.0,1.0,0.2320396900177002,18
4,Linear SVM,1.0,1.0,0.17205595970153809,18
0,Logistic Regression,1.0,1.0,0.12172961235046387,19
1,Decision Tree,1.0,1.0,0.006508827209472656,19
2,Random Forest,1.0,1.0,0.07443094253540039,19
3,K-Nearest Neighbors,1.0,1.0,0.2623002529144287,19
4,Linear SVM,1.0,1.0,0.17936253547668457,19
0,Logistic Regression,1.0,1.0,0.12279725074768066,20
1,Decision Tree,1.0,1.0,0.007523298263549805,20
2,Random Forest,1.0,1.0,0.07553386688232422,20
3,K-Nearest Neighbors,1.0,1.0,0.24352455139160156,20
4,Linear SVM,1.0,1.0,0.18472957611083984,20
0,Logistic Regression,1.0,1.0,0.0651543140411377,21
1,Decision Tree,1.0,1.0,0.006417989730834961,21
2,Random Forest,1.0,1.0,0.07484030723571777,21
3,K-Nearest Neighbors,1.0,1.0,0.2587876319885254,21
4,Linear SVM,1.0,1.0,0.1895124912261963,21
0,Logistic Regression,1.0,1.0,0.12891387939453125,22
1,Decision Tree,1.0,1.0,0.026305437088012695,22
2,Random Forest,1.0,1.0,0.12494683265686035,22
3,K-Nearest Neighbors,1.0,1.0,0.26241588592529297,22
4,Linear SVM,1.0,1.0,0.20065665245056152,22
0,Logistic Regression,1.0,1.0,0.054965972900390625,23
1,Decision Tree,1.0,1.0,0.007006406784057617,23
2,Random Forest,1.0,1.0,0.07787728309631348,23
3,K-Nearest Neighbors,1.0,1.0,0.2835569381713867,23
4,Linear SVM,1.0,1.0,0.25295567512512207,23
0,Logistic Regression,1.0,1.0,0.03819131851196289,24
1,Decision Tree,1.0,1.0,0.006931304931640625,24
2,Random Forest,1.0,1.0,0.07555198669433594,24
3,K-Nearest Neighbors,1.0,1.0,0.30320191383361816,24
4,Linear SVM,1.0,1.0,0.25694775581359863,24
0,Logistic Regression,1.0,1.0,0.03535294532775879,25
1,Decision Tree,1.0,1.0,0.0067713260650634766,25
2,Random Forest,1.0,1.0,0.07931995391845703,25
3,K-Nearest Neighbors,1.0,1.0,0.2878143787384033,25
4,Linear SVM,1.0,1.0,0.2568681240081787,25
0,Logistic Regression,1.0,1.0,0.039853572845458984,26
1,Decision Tree,1.0,1.0,0.006951570510864258,26
